Priority Buckets,Chain Name,Ship-To Name,Bill-To / Account (inferred),Direct/Distributor,Brand,Month Logic,Months Covered,Month Range,Avg Cont%,Min Cont%,Max Cont%,Mapping Confidence,Remarks,Pri: Low Confidence,Pri: Medium Confidence,Pri: Multi-Chain Distributor,Pri: Negative NSV/Cont,Pri: Name Variant (Merge Candidate),Validation Status,Validated Chain,Validated Account / Bill-To,Mapping Action,Validation Remarks,Validated By,Validated Date
3-Multi-Chain Dist; 2-Medium Conf,Frank Ross,D.L. Sales - MT,D.L. Sales,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Aug'25–Apr'26,21.28,5.41,36.21,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Frank Ross,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,5.6,0.53,18.21,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Frank Ross,D.L. Sales - MT,D.L. Sales,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),10,May'25–May'26,19.58,0.45,60.66,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,G N R C Medishop Pvt Ltd,SC BUSINESS COMBINE_MT,SC BUSINESS COMBINE,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Oct'25–Oct'25,3.54,3.54,3.54,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Grace Super MKT,Sri Lalitha Enterprises,Sri Lalitha Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Jul'25,41.82,20.73,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist,Health & Glow,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),10,Apr'25–Mar'26,91.25,68.24,100.0,High,Multi-chain distributor; chain name in ship-to (3 chains),,,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist,Health & Glow,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),10,Apr'25–Mar'26,89.67,4.79,100.0,High,Multi-chain distributor; chain name in ship-to (3 chains),,,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist,Health & Glow,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,Dr. Sheth's,Monthly dynamic Cont% (secondary-driven),2,Oct'25–Mar'26,100.0,100.0,100.0,High,Multi-chain distributor; chain name in ship-to (3 chains),,,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist,Health & Glow,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),10,Apr'25–Mar'26,43.44,26.16,100.0,High,Multi-chain distributor; chain name in ship-to (3 chains),,,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist,Health & Glow,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),10,Apr'25–Mar'26,63.63,21.7,100.0,High,Multi-chain distributor; chain name in ship-to (3 chains),,,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,D.L. Sales - MT,D.L. Sales,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),13,Apr'25–Apr'26,16.01,5.47,43.89,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,D.L. Sales - MT,D.L. Sales,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),13,Apr'25–Apr'26,81.93,32.74,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,D.L. Sales - MT,D.L. Sales,Dist.,Dr. Sheth's,Monthly dynamic Cont% (secondary-driven),2,Oct'25–Feb'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),13,Apr'25–Apr'26,3.0,0.08,7.28,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,D.L. Sales - MT,D.L. Sales,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),13,Apr'25–Apr'26,20.15,0.54,54.39,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,Apr'25–Sep'25,3.0,2.51,3.36,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),3,Aug'25–Nov'25,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Sep'25,0.75,0.23,1.81,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Sep'25,3.28,1.28,4.53,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,28.52,0.14,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),13,Apr'25–May'26,92.86,29.87,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,0.21,0.02,0.58,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,24.59,0.28,92.69,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),7,Nov'25–May'26,49.83,28.53,85.55,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),7,Nov'25–May'26,86.05,60.67,104.51,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Dr. Sheth's,Monthly dynamic Cont% (secondary-driven),5,Dec'25–Apr'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),7,Nov'25–May'26,6.02,0.32,17.4,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Nov'25–May'26,16.03,6.06,40.3,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),5,Apr'25–Aug'25,35.95,18.18,49.37,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),5,Apr'25–Aug'25,82.85,57.58,95.77,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),5,Apr'25–Aug'25,7.09,4.27,8.98,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),5,Apr'25–Aug'25,56.45,51.64,67.56,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,May'26–May'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),8,Apr'25–Jan'26,67.42,10.98,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,78.64,15.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,Chhabra Traders,Chhabra Traders,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),7,Jul'25–May'26,43.84,3.53,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,Chhabra Traders,Chhabra Traders,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),5,Jul'25–Mar'26,83.33,32.06,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,G.V Enterprises,G.V Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,83.96,3.52,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,G.V Enterprises,G.V Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,4.89,0.24,10.02,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,G.V Enterprises,G.V Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,22.92,0.05,61.84,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),12,Apr'25–May'26,91.62,36.1,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),2,Dec'25–Mar'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),13,Apr'25–May'26,67.95,20.85,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),12,Apr'25–May'26,73.36,14.32,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Nov'25–May'26,13.44,1.87,27.73,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),7,Nov'25–May'26,7.36,0.48,20.94,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Nov'25–May'26,7.9,0.41,22.76,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,8.18,2.77,16.32,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,2.71,0.5,6.27,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Lulu,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,2.08,0.44,4.28,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Medanta,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'26–May'26,0.47,0.47,0.47,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,D.L. Sales - MT,D.L. Sales,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),12,May'25–May'26,58.74,24.05,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,19.99,3.44,27.84,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,D.L. Sales - MT,D.L. Sales,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),12,May'25–May'26,27.44,7.47,69.08,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,Mar'26–Mar'26,6.54,6.54,6.54,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),11,Apr'25–May'26,11.24,1.47,21.22,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Sep'25–Mar'26,21.27,14.77,27.76,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),13,Apr'25–May'26,1.08,0.03,3.18,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),5,Dec'25–May'26,36.25,32.21,42.44,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),7,Nov'25–May'26,14.31,3.8,45.57,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Nov'25–May'26,11.27,2.16,19.32,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,13.68,2.95,24.23,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,10.35,4.32,13.51,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,More Retail,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,13.6,0.75,24.51,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,National Mart,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Mar'26–May'26,2.27,0.46,3.68,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Pothys,G.V Enterprises,G.V Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),2,May'25–Jun'25,5.26,5.0,5.52,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Pothys,G.V Enterprises,G.V Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),2,May'25–Aug'25,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Pothys,G.V Enterprises,G.V Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Apr'25–Jun'25,4.5,2.61,6.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Pothys,G.V Enterprises,G.V Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),3,Apr'25–Jun'25,4.42,0.33,7.11,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Pothys,Sri Lalitha Enterprises,Sri Lalitha Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),1,Feb'26–Feb'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Pothys,Sri Lalitha Enterprises,Sri Lalitha Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Feb'26,44.9,16.05,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,RMT-Sancus,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,99.53,93.46,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,RMT-Sancus,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Apr'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,RMT-Sancus,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,71.38,29.75,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,RMT-Sancus,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,75.41,8.54,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Ratnadeep,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,Dec'25–May'26,11.52,1.2,26.51,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Ratnadeep,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,10.32,7.56,14.57,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,BALAJI ASSOCIATES Distributor MT,BALAJI ASSOCIATES Distributor MT,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),11,Apr'25–Apr'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,BALAJI ASSOCIATES Distributor MT,BALAJI ASSOCIATES Distributor MT,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Mar'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Reliance Retail,BALAJI ASSOCIATES Distributor MT,BALAJI ASSOCIATES Distributor MT,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),13,Apr'25–May'26,68.21,4.3,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
